,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Если спецавтомобиль включил сирену, этот сигнал означает:","""Посторонись! Срочное дело!""","""Кто будет третьим?""","""Наши забили гол!""","""Поделитесь бензином!"""
1,Как называется рассказ Аркадия Гайдара?,«Голубая чашка»,«Красная ложка»,«Жёлтая вилка»,«Зелёная тарелка»
2,У какого из этих животных самый длинный язык?,У жирафа,У медведя,У тигра,У барсука
3,Как называется лодка для соревнований гребцов?,распашная,раскладная,раздвижная,разводная
4,Как охотники называют весенний брачный полёт вальдшнепа в поисках самки?,тяга,привязанность,влечение,страсть
5,"Какая из перечисленных кислот не синтезируется в организме кошки и, следовательно, должна содержаться в кошачьем рационе?",Таурин,Аланин,Глицин,Серин
6,Какая певица стала первой победительницей из СССР на музыкальном фестивале в Сопоте в 1963 году?,Тамара Миансарова,Гелена Великанова,Аида Ведищева,Майя Кристалинская
7,Кто из перечисленных не выигрывал турниров Большого Шлема?,Николай Давыденко,Светлана Кузнецова,Анастасия Мыскина,Евгений Кафельников
8,Подданным какой страны был первый лауреат нобелевской премии по литературе?,Франция,США,Швеция,Великобритания
9,Какой из богов древнеегипетского пантеона изображался с головой трубкозуба?,Сет,Себек,Сатис,Сехмет
